,Name,B,F,G,Var,HD,HIP,RA,Dec,vis_mag,Dist.,Sp.class,Notes
92,52 G. Aql,,,52,,183387,95812,19h 29m 18.02s,+00° 14′ 46.0″,6.25,603,K2,
93,ψ Aql,ψ,48,,,186547,97139,19h 44m 34.19s,+13° 18′ 10.1″,6.25,809,B9III-IV,
94,88 G. Aql,,,88,,187753,97697,19h 51m 17.73s,+09° 37′ 47.8″,6.25,380,A1m,
95,HD 191984,,,120,,191984,99585,20h 12m 35.12s,+00° 52′ 01.6″,6.25,603,A0,double star
96,37 G. Aql,,,37,,181122,94916,19h 18m 52.75s,+09° 37′ 05.4″,6.31,517,G9III,Les Grey
97,43 G. Aql,,,43,,182038,95281,19h 23m 04.44s,−07° 24′ 02.0″,6.31,493,K0,
98,HD 183144,,,,,183144,95664,19h 27m 33.90s,+14° 16′ 57.0″,6.31,834,B4III,suspected variable
99,71 G. Aql,,,71,,185966,96917,19h 42m 02.90s,−09° 11′ 36.4″,6.31,334,K2,
100,60 G. Aql,,,60,,184573,96356,19h 35m 29.79s,−07° 27′ 36.7″,6.32,355,K0,
101,46 Aql,,46,,,186122,96931,19h 42m 12.81s,+12° 11′ 35.8″,6.33,720,B9III,
102,25 G. Aql,,,25,,178744,94149,19h 09m 51.59s,−00° 25′ 41.2″,6.34,874,B5Vn,
103,44 G. Aql,,,44,,182101,95253,19h 22m 48.35s,+09° 54′ 46.4″,6.34,116,F6V,
104,,,,,,191263,99234,20h 08m 38.28s,+10° 43′ 33.1″,6.34,1842,B3IV,
105,V450 Aql,,,,V450,184313,96204,19h 33m 46.03s,+05° 27′ 56.8″,6.35,858,M5III-M8III,"semiregular variable, Vmax = 6.30m, Vmin = 6.65m, P = 64.20 d"
106,67 G. Aql,,,67,,185423,96630,19h 38m 48.99s,+03° 22′ 53.5″,6.36,,B3III,
107,HD 174569,,,,,174569,92475,18h 50m 45.55s,+10° 58′ 35.0″,6.37,1863,K5III+...,double star
